주문번호,주문일,주문시간,채널,카테고리,SKU,상품명,수량,단가,금액,배송지역,주문상태
MW-260526-0012,2026-05-26,02:15,자사몰,패브릭,FB03,무아레 워시드 쿠션커버,1,27000,27000,인천,교환완료
MW-260526-0012,2026-05-26,02:15,자사몰,홈프래그런스,FR02,무아레 우드세이지 캔들,1,36000,36000,인천,교환완료
29-260526-0001,2026-05-26,02:47,29CM,홈프래그런스,FR05,무아레 오션브리즈 디퓨저,1,52000,52000,부산,반품완료
29-260526-0001,2026-05-26,02:47,29CM,문구,ST01,무아레 데일리 다이어리,3,22000,66000,부산,반품완료
OH-260526-0004,2026-05-26,07:00,오늘의집,홈프래그런스,FR01,무아레 화이트무스크 캔들,1,38000,38000,경기,반품완료
MW-260526-0008,2026-05-26,07:29,자사몰,테이블웨어,TW05,무아레 스톤 보울,2,25000,50000,기타,배송완료
MW-260526-0008,2026-05-26,07:29,자사몰,홈프래그런스,FR07,무아레 디퓨저 리필 200ml,1,20000,20000,기타,배송완료
MW-260526-0008,2026-05-26,07:29,자사몰,패브릭,FB03,무아레 워시드 쿠션커버,1,27000,27000,기타,배송완료
NV-260526-0007,2026-05-26,08:53,네이버 스마트스토어,문구,ST04,무아레 마스킹테이프 세트,2,5000,10000,경남,배송완료
NV-260526-0007,2026-05-26,08:53,네이버 스마트스토어,홈프래그런스,FR06,무아레 리넨 룸스프레이,2,23800,47600,경남,배송완료
NV-260526-0017,2026-05-26,09:03,네이버 스마트스토어,홈프래그런스,FR07,무아레 디퓨저 리필 200ml,1,19800,19800,서울,배송완료
MW-260526-0013,2026-05-26,09:28,자사몰,테이블웨어,TW07,무아레 세라믹 티팟,1,44000,44000,서울,배송완료
MW-260526-0013,2026-05-26,09:28,자사몰,테이블웨어,TW05,무아레 스톤 보울,2,25000,50000,서울,배송완료
MW-260526-0009,2026-05-26,09:55,자사몰,문구,ST02,무아레 그리드 노트,3,11000,33000,경기,배송완료
MW-260526-0009,2026-05-26,09:55,자사몰,문구,ST03,무아레 아트 엽서세트,2,8500,17000,경기,배송완료
MW-260526-0010,2026-05-26,10:06,자사몰,패브릭,FB05,무아레 웨이브 테이블러너,1,32000,32000,서울,배송완료
MW-260526-0019,2026-05-26,10:10,자사몰,홈프래그런스,FR07,무아레 디퓨저 리필 200ml,1,20000,20000,경기,배송완료
MW-260526-0019,2026-05-26,10:10,자사몰,패브릭,FB05,무아레 웨이브 테이블러너,2,32000,64000,경기,배송완료
MW-260526-0005,2026-05-26,10:19,자사몰,문구,ST01,무아레 데일리 다이어리,1,18900,18900,경기,배송완료
MW-260526-0005,2026-05-26,10:19,자사몰,테이블웨어,TW05,무아레 스톤 보울,2,25000,50000,경기,배송완료
MW-260526-0017,2026-05-26,11:16,자사몰,패브릭,FB02,무아레 린넨 테이블러너,1,30000,30000,서울,배송완료
OH-260526-0005,2026-05-26,11:16,오늘의집,홈프래그런스,FR06,무아레 리넨 룸스프레이,1,26000,26000,부산,배송완료
29-260526-0002,2026-05-26,11:36,29CM,테이블웨어,TW07,무아레 세라믹 티팟,3,46000,138000,울산,배송완료
OH-260526-0007,2026-05-26,11:43,오늘의집,테이블웨어,TW06,무아레 글라스 컵 4P,1,39000,39000,울산,배송중
NV-260526-0002,2026-05-26,11:53,네이버 스마트스토어,테이블웨어,TW01,무아레 스톤 머그,1,20800,20800,대구,배송완료
OH-260526-0002,2026-05-26,12:02,오늘의집,패브릭,FB04,무아레 린넨 앞치마,1,34000,34000,대전,배송완료
MW-260526-0011,2026-05-26,12:21,자사몰,문구,ST04,무아레 마스킹테이프 세트,1,5000,5000,경남,배송완료
NV-260526-0009,2026-05-26,12:21,네이버 스마트스토어,홈프래그런스,FR07,무아레 디퓨저 리필 200ml,1,19800,19800,서울,배송완료
MW-260526-0006,2026-05-26,12:24,자사몰,문구,ST04,무아레 마스킹테이프 세트,4,5000,20000,경기,배송완료
MW-260526-0004,2026-05-26,12:27,자사몰,테이블웨어,TW03,무아레 스톤 플레이트 2P,1,30000,30000,경기,배송완료
NV-260526-0004,2026-05-26,14:53,네이버 스마트스토어,문구,ST01,무아레 데일리 다이어리,3,20800,62400,부산,배송완료
MW-260526-0001,2026-05-26,15:36,자사몰,문구,ST04,무아레 마스킹테이프 세트,2,5000,10000,경기,배송완료
MW-260526-0015,2026-05-26,16:17,자사몰,테이블웨어,TW07,무아레 세라믹 티팟,3,44000,132000,서울,교환완료
