주문일자,상품코드,상품명,옵션,판매수량,판매단가,판매금액,결제수단,수취인지역
2026-03-01,NW-100010,가비지타임 포토카드 세트,2탄,1,9800,9800,카카오페이,기타
2026-03-01,NW-100008,마루는 강쥐 키링,핑크,1,13500,13500,선물머니,대구
2026-03-01,NW-100040,외모지상주의 봉제 인형,S,1,39000,39000,신용카드,부산
2026-03-01,NW-100014,가비지타임 스티커팩,시즌2,1,7000,7000,선물머니,대구
2026-03-01,NW-100001,마루는 강쥐 봉제 인형,S,1,45000,45000,카카오페이,인천
2026-03-01,NW-100020,냐한 남자 봉제 인형,L,1,39500,39500,카카오페이,인천
2026-03-01,NW-100019,냐한 남자 머그컵,블랙,1,19000,19000,신용카드,부산
2026-03-01,NW-100024,냐한 남자 스티커팩,기본,2,7000,14000,카카오페이,인천
2026-03-01,NW-100013,가비지타임 봉제 인형,S,1,39000,39000,카카오페이,기타
2026-03-01,NW-100023,냐한 남자 키링,핑크,1,12500,12500,카카오페이,서울
2026-03-01,NW-100036,외모지상주의 스티커팩,시즌2,1,6500,6500,신용카드,광주
2026-03-01,NW-100003,마루는 강쥐 아크릴 스탠드,A타입,1,15000,15000,카카오페이,인천
2026-03-01,NW-100002,마루는 강쥐 포토카드 세트,2탄,2,10800,21600,카카오페이,대구
2026-03-01,NW-100008,마루는 강쥐 키링,옐로우,2,13500,27000,카카오페이,부산
2026-03-01,NW-100008,마루는 강쥐 키링,블루,3,13500,40500,신용카드,인천
2026-03-01,NW-100038,외모지상주의 키링,옐로우,3,12000,36000,카카오페이,경기
2026-03-01,NW-100019,냐한 남자 머그컵,화이트,2,18000,36000,카카오페이,인천
2026-03-01,NW-100010,가비지타임 포토카드 세트,2탄,1,9800,9800,신용카드,기타
2026-03-01,NW-100023,냐한 남자 키링,블루,1,12000,12000,카카오페이,부산
2026-03-01,NW-100010,가비지타임 포토카드 세트,1탄,1,9800,9800,카카오페이,인천
2026-03-01,NW-100020,냐한 남자 봉제 인형,S,1,40000,40000,선물머니,서울
2026-03-01,NW-100001,마루는 강쥐 봉제 인형,L,1,45500,45500,카카오페이,인천
