상품주문번호,주문번호,결제일,주문상태,상품명,옵션정보,수량,상품가격,옵션가격,판매가,구매자명,배송지,결제수단
20260326-0000001,20260326-0000001,2026-03-26 12:01:53,배송완료,신의 탑 스티커팩,색상/타입:기본,4,6500,0,26000,구매자3753,부산광역시,계좌이체
20260326-0000002,20260326-0000002,2026-03-26 21:01:01,배송완료,냐한 남자 차량용 방향제,색상/타입:우드,3,14000,0,42000,구매자5568,광주광역시,신용카드
20260326-0000003,20260326-0000003,2026-03-26 15:51:02,배송완료,냐한 남자 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자3555,인천광역시,신용카드
20260326-0000004,20260326-0000004,2026-03-26 22:56:41,결제완료,마루는 강쥐 스티커팩,색상/타입:기본,1,6500,0,6500,구매자6317,서울특별시,네이버페이
20260326-0000005,20260326-0000005,2026-03-26 17:21:50,배송완료,마루는 강쥐 봉제 인형,색상/타입:L,1,45000,0,45000,구매자8076,광주광역시,신용카드
20260326-0000006,20260326-0000006,2026-03-26 16:56:56,배송완료,냐한 남자 머그컵,색상/타입:화이트,1,18000,0,18000,구매자7803,부산광역시,네이버페이
20260326-0000007,20260326-0000007,2026-03-26 04:05:33,배송완료,외모지상주의 키링,색상/타입:그린,1,12000,0,12000,구매자9206,서울특별시,신용카드
20260326-0000008,20260326-0000008,2026-03-26 22:59:46,발송준비,냐한 남자 스티커팩,색상/타입:기본,1,6500,0,6500,구매자3687,서울특별시,네이버페이
20260326-0000009,20260326-0000009,2026-03-26 13:54:59,배송중,외모지상주의 스티커팩,색상/타입:레어,2,6500,0,13000,구매자8555,전라북도,네이버페이
20260326-0000010,20260326-0000010,2026-03-26 15:03:39,배송완료,외모지상주의 스티커팩,색상/타입:시즌2,5,6500,0,32500,구매자1312,충청남도,네이버페이
20260326-0000011,20260326-0000011,2026-03-26 00:37:33,취소,가비지타임 키링,색상/타입:블루,2,12000,0,24000,구매자6471,인천광역시,네이버페이
20260326-0000012,20260326-0000012,2026-03-26 19:12:11,발송준비,가비지타임 머그컵,색상/타입:화이트,1,18000,0,18000,구매자8946,대전광역시,휴대폰
20260326-0000013,20260326-0000013,2026-03-26 12:20:40,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자4356,충청남도,신용카드
20260326-0000014,20260326-0000014,2026-03-26 15:12:48,배송완료,가비지타임 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자8059,부산광역시,신용카드
20260326-0000015,20260326-0000015,2026-03-26 18:29:42,배송완료,신의 탑 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자9335,대전광역시,네이버페이
20260326-0000016,20260326-0000016,2026-03-26 19:39:04,배송완료,외모지상주의 봉제 인형,색상/타입:S,1,39000,0,39000,구매자8435,전라북도,네이버페이
20260326-0000017,20260326-0000017,2026-03-26 16:36:53,결제완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자1245,인천광역시,네이버페이
20260326-0000018,20260326-0000018,2026-03-26 17:52:27,취소,냐한 남자 2026 다이어리,색상/타입:데일리,3,19000,0,57000,구매자2967,대구광역시,네이버페이
20260326-0000019,20260326-0000019,2026-03-26 12:26:37,발송준비,마루는 강쥐 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자4885,경기도,네이버페이
20260326-0000020,20260326-0000020,2026-03-26 09:04:26,배송완료,신의 탑 포토카드 세트,색상/타입:3탄,1,9800,0,9800,구매자9425,인천광역시,네이버페이
20260326-0000021,20260326-0000021,2026-03-26 22:26:23,배송완료,냐한 남자 티셔츠,색상/타입:L,1,32000,0,32000,구매자5877,부산광역시,네이버페이
20260326-0000022,20260326-0000022,2026-03-26 10:29:15,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자1855,부산광역시,네이버페이
20260326-0000023,20260326-0000023,2026-03-26 12:01:05,배송완료,가비지타임 아크릴 스탠드,색상/타입:A타입,3,15000,0,45000,구매자5191,경상남도,신용카드
20260326-0000024,20260326-0000024,2026-03-26 19:58:55,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,3,9800,0,29400,구매자7509,대전광역시,신용카드
20260326-0000025,20260326-0000025,2026-03-26 10:00:44,결제완료,가비지타임 머그컵,색상/타입:화이트,1,18000,0,18000,구매자3742,경기도,네이버페이
20260326-0000026,20260326-0000026,2026-03-26 11:14:27,배송완료,냐한 남자 머그컵,색상/타입:화이트,1,18000,0,18000,구매자9745,부산광역시,신용카드
20260326-0000027,20260326-0000027,2026-03-26 17:03:17,배송완료,가비지타임 파우치,색상/타입:네이비,2,22000,0,44000,구매자3783,부산광역시,네이버페이
20260326-0000028,20260326-0000028,2026-03-26 18:23:44,결제완료,가비지타임 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자1937,대구광역시,신용카드
20260326-0000029,20260326-0000029,2026-03-26 11:56:34,배송완료,가비지타임 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자8809,인천광역시,계좌이체
20260326-0000030,20260326-0000030,2026-03-26 18:51:37,배송완료,가비지타임 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자1979,인천광역시,네이버페이
20260326-0000031,20260326-0000031,2026-03-26 11:31:38,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자5984,인천광역시,네이버페이
20260326-0000032,20260326-0000032,2026-03-26 08:45:28,배송완료,냐한 남자 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자7412,충청남도,네이버페이
