주문번호,주문일,주문시간,채널,카테고리,SKU,상품명,수량,단가,금액,배송지역,주문상태
PB-260526-0013,2026-05-26,04:37,자사몰,리빙-도자,LD04,도자 접시 세트,2,165000,330000,대구,교환완료
PB-260526-0009,2026-05-26,05:34,자사몰,리빙-텍스타일,LT05,린넨 앞치마,1,58000,58000,경기,배송완료
PB-260526-0002,2026-05-26,05:49,자사몰,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,450000,450000,서울,배송완료
PB-260526-0002,2026-05-26,05:49,자사몰,리빙-공예,LC03,황동 트레이,1,175000,175000,서울,배송완료
PB-260526-0002,2026-05-26,05:49,자사몰,리빙-도자,LD03,도자 화병,1,145000,145000,서울,배송완료
MS-260526-0005,2026-05-26,06:26,무신사,리빙-텍스타일,LT01,Work1969 실크 스카프,2,417100,834200,경기,배송완료
SG-260526-0003,2026-05-26,07:50,신세계몰,리빙-텍스타일,LT05,린넨 앞치마,2,56800,113600,서울,배송완료
PB-260526-0008,2026-05-26,08:24,자사몰,아트에디션,AE05,쿠사마 야요이 〈호박〉 실크스크린 (S),1,680000,680000,서울,배송완료
DR-260526-0004,2026-05-26,08:30,오프라인-직영,리빙-도자,LD04,도자 접시 세트,1,165000,165000,서울,배송완료
MS-260526-0006,2026-05-26,08:53,무신사,리빙-도자,LD03,도자 화병,2,140600,281200,경남,배송완료
PB-260526-0012,2026-05-26,08:55,자사몰,리빙-문구,LP02,아트 포스터 (소),1,28000,28000,경기,배송완료
PB-260526-0012,2026-05-26,08:55,자사몰,리빙-도자,LD02,산딸기 머그,1,89000,89000,경기,배송완료
PB-260526-0004,2026-05-26,09:42,자사몰,리빙-텍스타일,LT04,코튼 에코백,1,38000,38000,경기,배송완료
PB-260526-0010,2026-05-26,09:48,자사몰,리빙-도자,LD02,산딸기 머그,1,89000,89000,서울,배송완료
DP-260526-0007,2026-05-26,09:56,오프라인-백화점,리빙-도자,LD02,산딸기 머그,1,94000,94000,대전,교환완료
DP-260526-0001,2026-05-26,10:30,오프라인-백화점,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,490000,490000,서울,배송완료
